CellID,FirstSeenFrame,FirstSeenTime(s),CrossingFrame,CrossingTime(s),TotalDistance,DistanceToCross,DistanceAfterCross,AvgFrameDistance,MedianFrameDistance,FramesTracked,FramesMissed,Speed
284,1541,51.37,1596,53.20,483.50,391.50,92.00,7.21,7.00,69,41,213.31
285,1541,51.37,1600,53.33,484.00,399.00,85.00,6.72,7.00,73,41,201.67
286,1587,52.90,1594,53.13,141.50,54.50,87.00,7.45,8.00,20,41,223.42
287,1600,53.33,1662,55.40,484.00,398.00,86.00,6.37,6.00,77,41,191.05
288,1608,53.60,1664,55.47,486.00,399.50,86.50,7.04,7.00,70,41,211.30
289,1614,53.80,1668,55.60,484.00,399.50,84.50,7.33,7.00,67,41,220.00
290,1621,54.03,1674,55.80,483.00,397.50,85.50,7.43,7.00,66,41,222.92
291,1625,54.17,1675,55.83,485.50,397.50,88.00,7.83,8.00,63,41,234.92
292,1655,55.17,1705,56.83,484.50,399.50,85.00,7.94,8.00,62,41,238.28
293,1701,56.70,1763,58.77,486.50,398.00,88.50,6.32,6.00,78,22,189.55
294,1716,57.20,1765,58.83,484.50,391.00,93.50,7.94,8.00,62,23,238.28
